"parent_audit_id","child_audit_id","rc_class","classification_reason","verified_context","claim","complete_unit","content_id","question_or_title","all_choices","correct_answer_number","explanation_or_body","expected_function_in_question","recorded_source","recorded_url","final_audit_status","correct_answer_impact","safety_impact","release_blocker","release_decision","missing_material","restart_condition"
"A-OTHER-00F6B43233","A-OTHER-00F6B43233-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_choice","感染症のまん延防止のため、病原体に汚染され、又は汚染された疑いがある場所の消毒等が命じられることがある","yes","81","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された場所の消毒等について、正しいものはどれか。","1.感染症のまん延防止のため、病原体に汚染され、又は汚染された疑いがある場所の消毒等が命じられることがある | 2.感染症のまん延防止のため、病原体による汚染が確認された場所に限り、消毒等が命じられることがある | 3.感染症のまん延防止のため、病原体に汚染された場所の所有者が同意した場合に限り、消毒等が命じられる | 4.感染症のまん延防止のため、病原体に汚染された物件を対象として、場所の消毒等が命じられる","1","・根拠：感染症法第27条
・判断基準：感染症法第27条は、感染症の病原体に汚染され、又は汚染された疑いがある場所の消毒等を定める。汚染の確認済みの場合だけに限定せず、場所の所有者の同意を要件とするものでも、対象を物件だけとするものでもない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","正しい記述として機能","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","完全問題単位確認済み・一次資料箇所待ち","未解決の可能性あり","未解決の可能性あり","あり","一次資料の具体的箇所を固定後に再判定","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-9115B41714","A-OTHER-9115B41714-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_choice","感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の措置がとられることがある","yes","83","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された物件の措置について、正しいものはどれか。","1.病原体による汚染が確認された物件には消毒及び廃棄を行えるが、汚染の疑いがある物件には移動制限のみを行う | 2.感染症の病原体に汚染された物件について、消毒の措置はとられるが、移動制限や廃棄の措置はとられない | 3.感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の措置がとられることがある | 4.感染症の病原体に汚染された物件であっても、患者本人が所有する物件は措置の対象にならない","3","・根拠：感染症法第29条
・判断基準：感染症法第29条は、感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の必要な措置を定める。汚染疑いの物件や患者本人の所有物を一律に除外する規定ではなく、措置を消毒だけに限定するものでもない。 汚染された疑いがある物件も対象となり得て、措置を移動制限に限定する規定ではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","正しい記述として機能","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","完全問題単位確認済み・一次資料箇所待ち","未解決の可能性あり","未解決の可能性あり","あり","一次資料の具体的箇所を固定後に再判定","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-3DB12095DA","A-OTHER-3DB12095DA-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","「洗浄及び消毒済みの器具と、それらを衛生的かつ安全に収納できるものを携行する。」は規定と一致する。「使用済みの器具を安全に収納できるものを携行する。」は規定と一致する。組合せとして成立する。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-361E3437C9","A-OTHER-361E3437C9-02","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","・判断基準：衛生管理要領第3の4は外傷に対する救急処置に必要な薬品及び衛生材料を、第3の5は手洗いに必要な石ケン、消毒液等を携行することと定めている。したがって","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-59C9925E59","A-OTHER-59C9925E59-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","「外傷に対する救急処置に必要な薬品及び衛生材料を携行する。」は規定と一致する。「手洗いに必要な石ケン、消毒液等を携行する。」は規定と一致する。組合せとして成立する。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-B4846BD802","A-OTHER-B4846BD802-02","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","・判断基準：衛生管理要領第3の5は、手洗いに必要な石ケン、消毒液等を携行することと定めている。したがって 携行品として求められるのは、手洗いに必要な石ケン、消毒液等である。出張先の備品や手袋によって必要な携行品を代替するものではない。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-206C4CAF34","A-OTHER-206C4CAF34-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_choice","「手洗いに必要な石ケン、消毒液等」は規定または制度の内容と一致する。根拠は第3の5。","yes","162","手洗いに関して、出張理容で携行すべきものはどれか。","1.石ケン及び使い捨て手袋を携行し、消毒液は出張先の設備を使用する | 2.手洗いに必要な石ケン、消毒液等 | 3.石ケン及び消毒液を携行し、流水設備は出張先にあることを事前に確認する | 4.手指消毒剤及び使い捨て手袋を携行し、流水設備がない場合は手指消毒で代替する","2","・根拠：第3の5
・判断基準：衛生管理要領第3の5は、手洗いに必要な石ケン、消毒液等を携行することと定めている。したがって 携行品として求められるのは、手洗いに必要な石ケン、消毒液等である。出張先の備品や手袋によって必要な携行品を代替するものではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","正しい記述として機能","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","完全問題単位確認済み・一次資料箇所待ち","未解決の可能性あり","未解決の可能性あり","あり","一次資料の具体的箇所を固定後に再判定","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-0B0F4E447A","A-OTHER-0B0F4E447A-02","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","・判断基準：同要領第4の1（2）は、作業終了後に作業場の清掃を十分行い、清潔にすることを定める。また、第4の2（1）は、洗浄及び消毒済みの器具類等を使用済みのものと区別して保管することを定める。","yes","164","次の記述のうち、出張理容・出張美容の作業場及び携行品の管理について正しいものの組合せはどれか。



a. 作業終了後は、作業場の清掃を十分に行い、清潔にする。

b. 洗浄及び消毒済みの器具類等は、使用済みのものと区別して保管する。

c. 同じ場所で複数の客を扱う場合は、器具の交換時に作業場を清掃する。

d. 使用済み器具は、表面を拭き取れば洗浄及び消毒済み器具と同じ収納ケースに保管してよい。","1.c・d | 2.a・c | 3.a・b | 4.a・d","3","・根拠：第4の1（2）、第4の2（1）
・判断基準：同要領第4の1（2）は、作業終了後に作業場の清掃を十分行い、清潔にすることを定める。また、第4の2（1）は、洗浄及び消毒済みの器具類等を使用済みのものと区別して保管することを定める。 作業終了後は作業場を十分に清掃して清潔にし、洗浄・消毒済み器具と使用済み器具を区別する。器具交換時の清掃に置き換えるものではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","監修確認中","未解決の可能性あり","未解決の可能性あり","あり","保留","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-0B0F4E447A","A-OTHER-0B0F4E447A-03","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","作業終了後は作業場を十分に清掃して清潔にし、洗浄・消毒済み器具と使用済み器具を区別する。器具交換時の清掃に置き換えるものではない。","yes","164","次の記述のうち、出張理容・出張美容の作業場及び携行品の管理について正しいものの組合せはどれか。



a. 作業終了後は、作業場の清掃を十分に行い、清潔にする。

b. 洗浄及び消毒済みの器具類等は、使用済みのものと区別して保管する。

c. 同じ場所で複数の客を扱う場合は、器具の交換時に作業場を清掃する。

d. 使用済み器具は、表面を拭き取れば洗浄及び消毒済み器具と同じ収納ケースに保管してよい。","1.c・d | 2.a・c | 3.a・b | 4.a・d","3","・根拠：第4の1（2）、第4の2（1）
・判断基準：同要領第4の1（2）は、作業終了後に作業場の清掃を十分行い、清潔にすることを定める。また、第4の2（1）は、洗浄及び消毒済みの器具類等を使用済みのものと区別して保管することを定める。 作業終了後は作業場を十分に清掃して清潔にし、洗浄・消毒済み器具と使用済み器具を区別する。器具交換時の清掃に置き換えるものではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","監修確認中","未解決の可能性あり","未解決の可能性あり","あり","保留","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-9F605D21A2","A-OTHER-9F605D21A2-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","「作業終了後は、作業場の清掃を十分に行い、清潔にする。」は規定と一致する。「洗浄及び消毒済みの器具類等は、使用済みのものと区別して保管する。」は規定と一致する。組合せとして成立する。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-621A9CB970","A-OTHER-621A9CB970-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","wrong_choice","洗浄及び消毒済みの器具類等は、使用済みのものと区別して保管する","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-83E207217D","A-OTHER-83E207217D-02","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","・判断基準：衛生管理要領第4の2（1）は、洗浄及び消毒済みの器具類等を、使用済みのものと区別して保管することと定めている。したがって","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-F054FA1068","A-OTHER-F054FA1068-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_choice","「洗浄及び消毒済みの器具類等は、使用済みのものと区別して保管する」は規定または制度の内容と一致する。根拠は第4の2（1）。","yes","165","洗浄・消毒済みの器具類と使用済みの器具類の管理について、正しいものはどれか。","1.洗浄及び消毒済みの器具類等は、使用済みのものと区別して保管する | 2.洗浄及び消毒済みの器具は、使用済み器具と同じケース内で重ならないように保管する | 3.使用済み器具を密封袋に入れれば、洗浄及び消毒済み器具と同じ収納部に保管してよい | 4.洗浄及び消毒済み器具と使用済み器具の区別は、血液付着が疑われる場合に限って行う","1","・根拠：第4の2（1）
・判断基準：衛生管理要領第4の2（1）は、洗浄及び消毒済みの器具類等を、使用済みのものと区別して保管することと定めている。したがって
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","正しい記述として機能","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","完全問題単位確認済み・一次資料箇所待ち","未解決の可能性あり","未解決の可能性あり","あり","一次資料の具体的箇所を固定後に再判定","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-EDF9670CB6","A-OTHER-EDF9670CB6-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_choice","「客1人ごとに消毒した清潔なものを使用する」は規定または制度の内容と一致する。根拠は第5の5、第5の6。","yes","172","皮膚に接する器具類の使用について、正しいものはどれか。","1.同じ世帯の客に続けて使用する場合は、洗浄後に清潔な収納部へ保管して使用する | 2.使用前に消毒した器具は、皮膚の状態に異常がない客に続けて使用できる | 3.皮膚に接する器具は客1人ごとに洗浄し、かみそり及び血液付着器具を消毒する | 4.客1人ごとに消毒した清潔なものを使用する","4","・根拠：第5の5、第5の6
・判断基準：衛生管理要領第5の5は、皮膚に接する器具類について、客1人ごとに消毒した清潔なものを使用することと定めている。また、第5の6は使用後の洗浄及び消毒を求めている。したがって 皮膚に接する器具は、世帯や皮膚状態にかかわらず、客1人ごとに消毒した清潔なものを使用する。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","正しい記述として機能","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","完全問題単位確認済み・一次資料箇所待ち","未解決の可能性あり","未解決の可能性あり","あり","一次資料の具体的箇所を固定後に再判定","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-AA97CDA0FF","A-OTHER-AA97CDA0FF-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_choice","「消毒済みのものを使用する」は規定または制度の内容と一致する。根拠は第5の9。","yes","175","蒸しタオルの取扱いについて、正しいものはどれか。","1.蒸気で十分に温めたタオルは、その前に消毒していなくても使用できる | 2.消毒済みの蒸しタオルは、使用済みタオルと仕切りのない同じ容器に保管できる | 3.消毒済みのものを使用する | 4.蒸しタオルは、皮膚に直接触れない用途であれば消毒前のものを使用できる","3","・根拠：第5の9
・判断基準：衛生管理要領第5の9は、蒸しタオルについて消毒済みのものを使用することと定めている。温度や用途によって消毒を省略することはできないため、
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","正しい記述として機能","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","完全問題単位確認済み・一次資料箇所待ち","未解決の可能性あり","未解決の可能性あり","あり","一次資料の具体的箇所を固定後に再判定","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-272AD2835B","A-OTHER-272AD2835B-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","希釈して用いる消毒液は、汚れや濃度低下に注意し、原則として毎日取り替える。外観だけで継続使用を判断したり、濃度不明のまま希釈したり、薬剤を混合したりしてはならないため、②が正しい。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-7DCA6C1BFA","A-OTHER-7DCA6C1BFA-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","希釈して用いる消毒液は、汚れや濃度低下に注意し、原則として毎日取り替える。外観だけで継続使用を判断したり、濃度不明のまま希釈したり、薬剤を混合したりしてはならないため、②が正しい。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-79ECFC4F4A","A-OTHER-79ECFC4F4A-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","希釈して用いる消毒液は、汚れや濃度低下に注意し、原則として毎日取り替える。外観だけで継続使用を判断したり、濃度不明のまま希釈したり、薬剤を混合したりしてはならないため、②が正しい。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-4275688EAC","A-OTHER-4275688EAC-03","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","b. 頭髪の切断だけに用いるものを除くかみそりは、血液付着の有無にかかわらず、血液付着器具と同じ区分の方法で消毒する。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-4275688EAC","A-OTHER-4275688EAC-04","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","c. 使用済み器具を密封袋に入れれば、消毒済み器具と同じ収納部に保管できる。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-A9D57F0B80","A-OTHER-A9D57F0B80-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","wrong_choice","頭髪の切断だけに用いるものを除き、血液付着器具と同じ区分の方法で消毒する","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-C640FC28B1","A-OTHER-C640FC28B1-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","wrong_choice","同じ客に続けて使用する場合は、作業の途中で刃が皮膚に触れても消毒を要しない","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-4D8C5F1523","A-OTHER-4D8C5F1523-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","wrong_choice","廃棄するか、血液が付着している器具と同様の洗浄及び消毒を行う","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-BA8AAB97F0","A-OTHER-BA8AAB97F0-03","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","b. 原液濃度と目的濃度を確認し、必要な原液量を計算して水で希釈する。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-BA8AAB97F0","A-OTHER-BA8AAB97F0-04","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","c. 10％の原液から0.1％液を1,000mL作る場合は、原液10mLを取り、水を加えて全量を1,000mLとする。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-BA8AAB97F0","A-OTHER-BA8AAB97F0-05","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","d. 10％の原液から0.1％液を1,000mL作る場合は、原液100mLに水900mLを加える。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-049A3DC806","A-OTHER-049A3DC806-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","wrong_choice","客ごとに手袋を交換すれば、使用済み器具と消毒済み器具を同じ収納部に保管してよい","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-A561A34EB7","A-OTHER-A561A34EB7-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","wrong_choice","器具の種類、血液付着の有無、消毒薬の濃度、作用時間を組み合わせて判断する","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-93C8C24E55","A-OTHER-93C8C24E55-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","wrong_choice","消毒薬の濃度と作用時間が合っていれば、消毒前の十分な洗浄は省略できる","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-46D61FB8D2","A-OTHER-46D61FB8D2-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","公衆衛生は、個人だけでなく集団や地域社会を対象に、疾病予防、健康の保持・増進、生活環境の改善などを図る活動である。医療機関での治療や理容器具の消毒だけに限定されないため、③が正しい。","yes","215","公衆衛生の考え方として、最も適切なものはどれか。","1.病気になった人を病院で治療することだけをいう | 2.理容所内の器具消毒だけをいう | 3.個人だけでなく、地域社会全体の健康の保持・増進を図る活動である | 4.美容目的のサービスを増やすことを主な目的とする","3","公衆衛生は、個人だけでなく集団や地域社会を対象に、疾病予防、健康の保持・増進、生活環境の改善などを図る活動である。医療機関での治療や理容器具の消毒だけに限定されないため、③が正しい。","","","","監修確認中","未解決の可能性あり","未解決の可能性あり","あり","保留","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-99AB1D210B","A-OTHER-99AB1D210B-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","公衆衛生は、個人だけでなく集団や地域社会を対象に、疾病予防、健康の保持・増進、生活環境の改善などを図る活動である。医療機関での治療や理容器具の消毒だけに限定されないため、③が正しい。","yes","215","公衆衛生の考え方として、最も適切なものはどれか。","1.病気になった人を病院で治療することだけをいう | 2.理容所内の器具消毒だけをいう | 3.個人だけでなく、地域社会全体の健康の保持・増進を図る活動である | 4.美容目的のサービスを増やすことを主な目的とする","3","公衆衛生は、個人だけでなく集団や地域社会を対象に、疾病予防、健康の保持・増進、生活環境の改善などを図る活動である。医療機関での治療や理容器具の消毒だけに限定されないため、③が正しい。","","","","監修確認中","未解決の可能性あり","未解決の可能性あり","あり","保留","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-7B331F4AC5","A-OTHER-7B331F4AC5-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","公衆衛生は、個人だけでなく集団や地域社会を対象に、疾病予防、健康の保持・増進、生活環境の改善などを図る活動である。医療機関での治療や理容器具の消毒だけに限定されないため、③が正しい。","yes","215","公衆衛生の考え方として、最も適切なものはどれか。","1.病気になった人を病院で治療することだけをいう | 2.理容所内の器具消毒だけをいう | 3.個人だけでなく、地域社会全体の健康の保持・増進を図る活動である | 4.美容目的のサービスを増やすことを主な目的とする","3","公衆衛生は、個人だけでなく集団や地域社会を対象に、疾病予防、健康の保持・増進、生活環境の改善などを図る活動である。医療機関での治療や理容器具の消毒だけに限定されないため、③が正しい。","","","","監修確認中","未解決の可能性あり","未解決の可能性あり","あり","保留","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-4EFBB6A60F","A-OTHER-4EFBB6A60F-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","wrong_choice","環境消毒を行えば、換気や手指衛生などの感染経路対策は省略できる","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
