"content_id","question_or_title","all_choices","correct_answer_number","explanation_or_body","recorded_source","recorded_url","related_child_ids"
"81","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された場所の消毒等について、正しいものはどれか。","1.感染症のまん延防止のため、病原体に汚染され、又は汚染された疑いがある場所の消毒等が命じられることがある | 2.感染症のまん延防止のため、病原体による汚染が確認された場所に限り、消毒等が命じられることがある | 3.感染症のまん延防止のため、病原体に汚染された場所の所有者が同意した場合に限り、消毒等が命じられる | 4.感染症のまん延防止のため、病原体に汚染された物件を対象として、場所の消毒等が命じられる","1","・根拠：感染症法第27条
・判断基準：感染症法第27条は、感染症の病原体に汚染され、又は汚染された疑いがある場所の消毒等を定める。汚染の確認済みの場合だけに限定せず、場所の所有者の同意を要件とするものでも、対象を物件だけとするものでもない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","A-OTHER-00F6B43233-01|A-OTHER-882EBA46E1-01"
"83","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された物件の措置について、正しいものはどれか。","1.病原体による汚染が確認された物件には消毒及び廃棄を行えるが、汚染の疑いがある物件には移動制限のみを行う | 2.感染症の病原体に汚染された物件について、消毒の措置はとられるが、移動制限や廃棄の措置はとられない | 3.感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の措置がとられることがある | 4.感染症の病原体に汚染された物件であっても、患者本人が所有する物件は措置の対象にならない","3","・根拠：感染症法第29条
・判断基準：感染症法第29条は、感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の必要な措置を定める。汚染疑いの物件や患者本人の所有物を一律に除外する規定ではなく、措置を消毒だけに限定するものでもない。 汚染された疑いがある物件も対象となり得て、措置を移動制限に限定する規定ではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","A-OTHER-8F02C90A39-01|A-OTHER-9115B41714-01"
"","消毒方法","","","理容師法施行規則 第二十五条。器具の種類や汚染状況に応じ、煮沸、エタノール、次亜塩素酸ナトリウム等で消毒。","","","A-OTHER-44ECB0EC48-01|A-OTHER-F41EA74C00-01|A-OTHER-869F9B2824-01|A-OTHER-CCEE8AD20C-01|A-OTHER-54196F9855-01"
"","","","","","","","A-OTHER-3DB12095DA-01|A-OTHER-361E3437C9-02|A-OTHER-59C9925E59-01|A-OTHER-B4846BD802-02|A-OTHER-9F605D21A2-01|A-OTHER-621A9CB970-01|A-OTHER-83E207217D-02|A-OTHER-272AD2835B-01|A-OTHER-7DCA6C1BFA-01|A-OTHER-79ECFC4F4A-01|A-OTHER-4275688EAC-03|A-OTHER-4275688EAC-04|A-OTHER-A9D57F0B80-01|A-OTHER-C640FC28B1-01|A-OTHER-4D8C5F1523-01|A-OTHER-BA8AAB97F0-03|A-OTHER-BA8AAB97F0-04|A-OTHER-BA8AAB97F0-05|A-OTHER-049A3DC806-01|A-OTHER-A561A34EB7-01|A-OTHER-93C8C24E55-01|A-OTHER-4EFBB6A60F-01|A-OTHER-51E77BFFEE-01|A-OTHER-A5BA5F005D-01|A-OTHER-1E0518A0C0-03|A-OTHER-39035B04C3-01|A-OTHER-6D5787FC2F-01|A-OTHER-0889A8C9E0-01|A-OTHER-572156FEFB-05|A-OTHER-F0DDB82CEC-01|A-OTHER-F7B2D9FCBD-01|A-OTHER-B1D457186E-01|A-OTHER-CAFB16947D-01|A-OTHER-EF053A2847-01|A-OTHER-4F4A2C1C9E-01|A-OTHER-C70B4ADFC8-01|A-OTHER-03421A13DA-01|A-OTHER-DADB481EDA-01|A-OTHER-573FE26FDC-01|A-OTHER-41207CD4B3-01|A-OTHER-890EE7A6D6-01|A-OTHER-890EE7A6D6-02|A-OTHER-890EE7A6D6-03|A-OTHER-890EE7A6D6-05|A-OTHER-FD0C3008F9-01|A-OTHER-ADDAD39350-02|A-OTHER-23B8F83C3D-02|A-OTHER-79701220D8-01|A-OTHER-79701220D8-04|A-OTHER-5FA67288CF-01|A-OTHER-5FA67288CF-02|A-OTHER-0CB05EF95F-01|A-OTHER-0CB05EF95F-02|A-OTHER-7ACACB892F-05|A-OTHER-EFB1BB0ADE-02|A-OTHER-ADE64977B3-02|A-OTHER-3702D4CA68-02|A-OTHER-69D3EA1470-02|A-OTHER-196566A8E3-02|A-OTHER-470C11BFAD-02|A-OTHER-B2DE158405-01|A-OTHER-791BBE20FF-01|A-OTHER-791BBE20FF-02|A-OTHER-1913C5DEC0-01|A-OTHER-1913C5DEC0-02|A-OTHER-15AD280D80-01|A-OTHER-15AD280D80-02|A-OTHER-98442188FF-01|A-OTHER-98442188FF-02|A-OTHER-B4D97F5559-04|A-OTHER-3D6782FA3A-01|A-OTHER-CA8B6B1CFA-01|A-OTHER-72D5809E0C-04|A-OTHER-5BD880E9FB-01|A-OTHER-EB3C57A7CB-01|A-OTHER-554875BBCA-01|A-OTHER-261B940573-01|A-OTHER-361E3E65E9-01|A-OTHER-1E0F4F43D9-01|A-OTHER-FC27D3FA0F-01|A-OTHER-3F7A3D73F5-01|A-OTHER-B39DF7E64B-01|A-OTHER-CB0DD75C85-01|A-OTHER-1A2992EAEE-01|A-OTHER-F0BD8E9E23-01|A-OTHER-627129B2D1-01|A-OTHER-9FB7FD298F-01|A-OTHER-F1C0F5562B-01|A-OTHER-665D9E63B0-01|A-OTHER-0246BDD4E3-01|A-OTHER-8AB435249F-01|A-OTHER-AE69B432E9-01|A-OTHER-478170E41C-01|A-OTHER-577855814B-01|A-OTHER-CF5891A471-01|A-OTHER-CF5891A471-02|A-OTHER-9F654DA99D-01"
"162","手洗いに関して、出張理容で携行すべきものはどれか。","1.石ケン及び使い捨て手袋を携行し、消毒液は出張先の設備を使用する | 2.手洗いに必要な石ケン、消毒液等 | 3.石ケン及び消毒液を携行し、流水設備は出張先にあることを事前に確認する | 4.手指消毒剤及び使い捨て手袋を携行し、流水設備がない場合は手指消毒で代替する","2","・根拠：第3の5
・判断基準：衛生管理要領第3の5は、手洗いに必要な石ケン、消毒液等を携行することと定めている。したがって 携行品として求められるのは、手洗いに必要な石ケン、消毒液等である。出張先の備品や手袋によって必要な携行品を代替するものではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","A-OTHER-23EDE5CC42-01|A-OTHER-D2962E1C22-01|A-OTHER-206C4CAF34-01|A-OTHER-FA2E5294C1-01"
"","第3　携行品等","","","第3 携行品等 出張理容・出張美容を行う際には、次の器具等を携行すること。 1 洗浄及び消毒済みのはさみ等の理容器具・美容器具と、これらを衛生的 かつ安全に収納できるもの 2 使用済みのはさみ等の理容器具・美容器具を、安全に収納できるもの 3 消毒された布片類・タオルと、これらを衛生的に収納できるもの 4 外傷に対する救急処置に必要な薬品及び衛生材料 5 手洗いに必要な石ケン、消毒液等","","","A-OTHER-268824F530-01"
"164","次の記述のうち、出張理容・出張美容の作業場及び携行品の管理について正しいものの組合せはどれか。



a. 作業終了後は、作業場の清掃を十分に行い、清潔にする。

b. 洗浄及び消毒済みの器具類等は、使用済みのものと区別して保管する。

c. 同じ場所で複数の客を扱う場合は、器具の交換時に作業場を清掃する。

d. 使用済み器具は、表面を拭き取れば洗浄及び消毒済み器具と同じ収納ケースに保管してよい。","1.c・d | 2.a・c | 3.a・b | 4.a・d","3","・根拠：第4の1（2）、第4の2（1）
・判断基準：同要領第4の1（2）は、作業終了後に作業場の清掃を十分行い、清潔にすることを定める。また、第4の2（1）は、洗浄及び消毒済みの器具類等を使用済みのものと区別して保管することを定める。 作業終了後は作業場を十分に清掃して清潔にし、洗浄・消毒済み器具と使用済み器具を区別する。器具交換時の清掃に置き換えるものではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","A-OTHER-0B0F4E447A-02|A-OTHER-0B0F4E447A-03"
"165","洗浄・消毒済みの器具類と使用済みの器具類の管理について、正しいものはどれか。","1.洗浄及び消毒済みの器具類等は、使用済みのものと区別して保管する | 2.洗浄及び消毒済みの器具は、使用済み器具と同じケース内で重ならないように保管する | 3.使用済み器具を密封袋に入れれば、洗浄及び消毒済み器具と同じ収納部に保管してよい | 4.洗浄及び消毒済み器具と使用済み器具の区別は、血液付着が疑われる場合に限って行う","1","・根拠：第4の2（1）
・判断基準：衛生管理要領第4の2（1）は、洗浄及び消毒済みの器具類等を、使用済みのものと区別して保管することと定めている。したがって
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","A-OTHER-FA5A8B7540-01|A-OTHER-36C8E10A97-01|A-OTHER-6D46A9A261-01|A-OTHER-F054FA1068-01"
"172","皮膚に接する器具類の使用について、正しいものはどれか。","1.同じ世帯の客に続けて使用する場合は、洗浄後に清潔な収納部へ保管して使用する | 2.使用前に消毒した器具は、皮膚の状態に異常がない客に続けて使用できる | 3.皮膚に接する器具は客1人ごとに洗浄し、かみそり及び血液付着器具を消毒する | 4.客1人ごとに消毒した清潔なものを使用する","4","・根拠：第5の5、第5の6
・判断基準：衛生管理要領第5の5は、皮膚に接する器具類について、客1人ごとに消毒した清潔なものを使用することと定めている。また、第5の6は使用後の洗浄及び消毒を求めている。したがって 皮膚に接する器具は、世帯や皮膚状態にかかわらず、客1人ごとに消毒した清潔なものを使用する。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","A-OTHER-345DBB1556-01|A-OTHER-07B239B543-01|A-OTHER-EDF9670CB6-01"
"175","蒸しタオルの取扱いについて、正しいものはどれか。","1.蒸気で十分に温めたタオルは、その前に消毒していなくても使用できる | 2.消毒済みの蒸しタオルは、使用済みタオルと仕切りのない同じ容器に保管できる | 3.消毒済みのものを使用する | 4.蒸しタオルは、皮膚に直接触れない用途であれば消毒前のものを使用できる","3","・根拠：第5の9
・判断基準：衛生管理要領第5の9は、蒸しタオルについて消毒済みのものを使用することと定めている。温度や用途によって消毒を省略することはできないため、
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","A-OTHER-AA97CDA0FF-01"
"183","営業者又は衛生管理責任者が作成・周知すべきものとして、正しいものはどれか。","1.出張先の設備条件及び作業環境を記録し、器具の取扱いは従業者が出張先ごとに決定する手順書 | 2.器具の取扱い、消毒及び携行品の管理に関する手順書を作成し、作業環境の管理は出張先の施設管理者に委ねる | 3.出張理容・出張美容に係る具体的な衛生管理要領 | 4.利用者の要望に応じた衛生管理要領を作成し、内容は衛生管理責任者へ周知する","3","・根拠：第7の2
・判断基準：衛生管理要領第7の2は、営業者又は衛生管理責任者が、出張理容・出張美容に係る具体的な衛生管理要領を作成し、従業員に周知徹底することとしている。したがって 具体的な衛生管理要領は、作業環境、器具、携行品等を含めて作成し、従業者へ周知徹底する。出張先や利用者の判断に委ねるものではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","A-OTHER-A11498B27E-01"
"190","血液が付着している疑いのない器具の消毒方法として、正しいものはどれか。","1.血液付着の疑いがなければ、洗剤で十分に洗浄した器具は消毒を省略できる | 2.血液付着器具等の方法に加え、紫外線照射、蒸気、逆性石けん、グルコン酸クロルヘキシジン、両性界面活性剤などの方法も用いられる | 3.血液付着の疑いがない器具は、紫外線照射又は蒸気による方法だけが認められ、薬液は用いない | 4.血液付着の疑いがない器具は薬液消毒だけを用い、煮沸や蒸気による方法は対象外である","2","血液付着の疑いがない器具には、血液付着器具に用いる方法のほか、紫外線、蒸気、逆性石けん、グルコン酸クロルヘキシジン、両性界面活性剤等による方法も認められる。したがって②が正しい。","厚生労働省「理容所及び美容所における衛生管理要領」","https://www.mhlw.go.jp/web/t_doc?dataId=00ta5155&dataType=1&pageNo=1","A-OTHER-3815D6C328-01"
"205","血液が付着したタオル等の取扱いとして、適切なものはどれか。","1.廃棄するか、血液が付着している器具と同様の洗浄及び消毒を行う | 2.血液部分を水洗いした後、他の使用済みタオルと同じ方法だけで処理する | 3.血液部分に消毒液を噴霧し、洗浄せず乾燥させて再使用する | 4.通常どおり洗濯した後、消毒前の清潔なタオルと同じ場所に保管する","1","血液が付着したタオル等は、廃棄するか、血液が付着している器具と同様の洗浄及び消毒を行う。乾燥や水洗いだけでは不十分で、清潔なタオルとも区別するため、①が正しい。","厚生労働省「理容所及び美容所における衛生管理要領」","https://www.mhlw.go.jp/web/t_doc?dataId=00ta5155&dataType=1&pageNo=1","A-OTHER-4522A6BBCF-01"
"214","理容師国家試験で消毒法を判断する際、最も適切な考え方はどれか。","1.消毒薬の名称と濃度が合っていれば、対象器具や作用時間は問わない | 2.器具の種類、血液付着の有無、消毒薬の濃度、作用時間を組み合わせて判断する | 3.対象器具と作用時間が合っていれば、消毒薬の濃度は製品ごとの目安でよい | 4.消毒薬の濃度と作用時間が合っていれば、消毒前の十分な洗浄は省略できる","2","消毒法は、器具の種類、血液付着の有無、消毒薬の濃度及び作用時間を組み合わせて判断し、消毒前の洗浄や消毒後の保管も含めて管理する。薬品名、濃度又は時間の一つだけでは判断できないため、②が正しい。","厚生労働省「理容所及び美容所における衛生管理要領」","https://www.mhlw.go.jp/web/t_doc?dataId=00ta5155&dataType=1&pageNo=1","A-OTHER-CE1BCC49E7-01|A-OTHER-6FB3B4E30A-01|A-OTHER-E68D79862E-01"
"215","公衆衛生の考え方として、最も適切なものはどれか。","1.病気になった人を病院で治療することだけをいう | 2.理容所内の器具消毒だけをいう | 3.個人だけでなく、地域社会全体の健康の保持・増進を図る活動である | 4.美容目的のサービスを増やすことを主な目的とする","3","公衆衛生は、個人だけでなく集団や地域社会を対象に、疾病予防、健康の保持・増進、生活環境の改善などを図る活動である。医療機関での治療や理容器具の消毒だけに限定されないため、③が正しい。","","","A-OTHER-46D61FB8D2-01|A-OTHER-99AB1D210B-01|A-OTHER-7B331F4AC5-01"
