"source_list","parent_audit_id","child_audit_id","old_result","verified_context","question_ids","sample_decision","claim"
"公式確認済み・正しい一覧_v2.9.151.csv","A-OTHER-FC72B6479D","A-OTHER-FC72B6479D-01","公式確認済み・正しい","wrong_explanation","16","誤分類候補","a：皮膚に接する器具は客1人ごとに消毒が必要で、見た目が清潔なだけでは足りない。"
"公式確認済み・正しい一覧_v2.9.151.csv","A-OTHER-DAA4BA33FC","A-OTHER-DAA4BA33FC-01","公式確認済み・正しい","wrong_explanation","16","誤分類候補","a：皮膚に接する器具は客1人ごとに消毒が必要で、見た目が清潔なだけでは足りない。"
"公式確認済み・正しい一覧_v2.9.151.csv","A-OTHER-DAA4BA33FC","A-OTHER-DAA4BA33FC-02","公式確認済み・正しい","correct_explanation|wrong_explanation","16","判定維持","d：就業が公衆衛生上不適当なとき、都道府県知事は期間を定めて業務停止を命じることができる。"
"公式確認済み・正しい一覧_v2.9.151.csv","A-OTHER-474FD9687C","A-OTHER-474FD9687C-02","公式確認済み・正しい","wrong_choice|correct_choice|correct_explanation","48|172","判定維持","・判断基準：衛生管理要領第5の5は、皮膚に接する器具類について、客1人ごとに消毒した清潔なものを使用することと定めている。また、第5の6は使用後の洗浄及び消毒を求めている。したがって 皮膚に接する器具は、世帯や皮膚状態にかかわらず、客1人ごとに消毒した清潔なものを使用する。"
"意図的な誤答一覧_v2.9.151.csv","A-OTHER-86B12022F7","A-OTHER-86B12022F7-01","公式確認済み・問題上の意図的な誤答","wrong_choice|wrong_explanation","81","判定維持","感染症のまん延防止のため、病原体による汚染が確認された場所に限り、消毒等が命じられることがある"
"意図的な誤答一覧_v2.9.151.csv","A-OTHER-917EACC1B4","A-OTHER-917EACC1B4-01","公式確認済み・問題上の意図的な誤答","wrong_choice|wrong_explanation","81","判定維持","感染症のまん延防止のため、病原体に汚染された場所の所有者が同意した場合に限り、消毒等が命じられる"
"意図的な誤答一覧_v2.9.151.csv","A-OTHER-4389455171","A-OTHER-4389455171-01","公式確認済み・問題上の意図的な誤答","wrong_choice|wrong_explanation","83","判定維持","病原体による汚染が確認された物件には消毒及び廃棄を行えるが、汚染の疑いがある物件には移動制限のみを行う"
"意図的な誤答一覧_v2.9.151.csv","A-OTHER-89BACB8E9B","A-OTHER-89BACB8E9B-01","公式確認済み・問題上の意図的な誤答","wrong_choice|wrong_explanation","48|153","判定維持","衛生管理要領は、作業環境及び器具の消毒によって衛生を確保することを目的とし、従業者の健康管理は営業者の自主基準に委ねる"
"意図的な誤答一覧_v2.9.151.csv","A-OTHER-4E8DF433A9","A-OTHER-4E8DF433A9-01","公式確認済み・問題上の意図的な誤答","wrong_choice|wrong_explanation","154","判定維持","消毒済み器具を携行している場合に限り、作業場所を区分する必要はない"
"意図的な誤答一覧_v2.9.151.csv","A-OTHER-E46EA8BD41","A-OTHER-E46EA8BD41-01","公式確認済み・問題上の意図的な誤答","wrong_choice|wrong_explanation","159","判定維持","使用済み器具は、乾燥させれば消毒済み器具の収納容器へ戻してよい"
"意図的な誤答一覧_v2.9.151.csv","A-OTHER-6530E25D62","A-OTHER-6530E25D62-01","公式確認済み・問題上の意図的な誤答","wrong_choice|wrong_explanation","212","判定維持","洗浄後に乾燥させれば、定められた方法による消毒は省略できる"
"意図的な誤答一覧_v2.9.151.csv","A-OTHER-986AA5E4E2","A-OTHER-986AA5E4E2-01","公式確認済み・問題上の意図的な誤答","wrong_choice|wrong_explanation","232","判定維持","消毒後に塩素臭がなければ、安全性が確認できるため残留塩素の管理は不要である"
"意図的な誤答一覧_v2.9.151.csv","A-OTHER-60784C7495","A-OTHER-60784C7495-01","公式確認済み・問題上の意図的な誤答","wrong_choice","269","判定維持","皮膚常在菌をすべて除去するまで強い消毒を行うことが、清潔保持の基本である"
"意図的な誤答一覧_v2.9.151.csv","A-OTHER-55ECCCBE4C","A-OTHER-55ECCCBE4C-01","公式確認済み・問題上の意図的な誤答","wrong_choice|wrong_explanation","387","判定維持","使用後に水洗いして乾燥させれば、器具の種類に応じた消毒は省略できる"
"意図的な誤答一覧_v2.9.151.csv","A-OTHER-B5EA7922FA","A-OTHER-B5EA7922FA-01","公式確認済み・問題上の意図的な誤答","wrong_choice|wrong_explanation","398","判定維持","刃物を流水で洗い流して乾燥させれば、器具に応じた消毒は省略できる"
"誤答理由として適切な一覧_v2.9.151.csv","A-OTHER-9CDE348C18","A-OTHER-9CDE348C18-01","公式確認済み・誤答理由として適切","wrong_choice|wrong_explanation","48|153","判定維持","「衛生管理要領は、作業環境及び器具の消毒によって衛生を確保することを目的とし、従業者の健康管理は営業者の自主基準に委ねる」は規定または制度の内容と一致しない。主体、対象、数値、期間または要件のいずれかが、第1で定める内容と異なる。"
"誤答理由として適切な一覧_v2.9.151.csv","A-OTHER-C1437949BC","A-OTHER-C1437949BC-02","公式確認済み・誤答理由として適切","correct_explanation","158","誤分類候補","・判断基準：bは正しい。洗浄及び消毒済みの器具と、それらを衛生的かつ安全に収納できるものを携行する。dも正しい。使用済み器具には、安全に収納できる別のものが必要である。aは消毒と区分管理を欠き、cは清潔な器具を再汚染するおそれがあるため誤りである。"
"誤答理由として適切な一覧_v2.9.151.csv","A-OTHER-7614D347C4","A-OTHER-7614D347C4-01","公式確認済み・誤答理由として適切","wrong_explanation|correct_choice","158|159","判定維持","「使用済み器具は、消毒済み器具と同じ容器に区分せず収納してよい。」は規定と一致しない。「使用済みの器具を安全に収納できるものを携行する。」は規定と一致する。組合せとしては成立しない。"
"誤答理由として適切な一覧_v2.9.151.csv","A-OTHER-F423685725","A-OTHER-F423685725-01","公式確認済み・誤答理由として適切","wrong_explanation","164","判定維持","「同じ場所で複数の客を扱う場合は、器具の交換時に作業場を清掃する。」は規定と一致しない。「使用済み器具は、表面を拭き取れば洗浄及び消毒済み器具と同じ収納ケースに保管してよい。」は規定と一致しない。組合せとしては成立しない。"
"誤答理由として適切な一覧_v2.9.151.csv","A-OTHER-7B9E0A9E50","A-OTHER-7B9E0A9E50-01","公式確認済み・誤答理由として適切","wrong_choice|wrong_explanation","165","判定維持","「使用済み器具を密封袋に入れれば、洗浄及び消毒済み器具と同じ収納部に保管してよい」は規定または制度の内容と一致しない。主体、対象、数値、期間または要件のいずれかが、第4の2（1）で定める内容と異なる。"
"誤答理由として適切な一覧_v2.9.151.csv","A-OTHER-352391741A","A-OTHER-352391741A-01","公式確認済み・誤答理由として適切","wrong_choice|wrong_explanation","172","判定維持","「皮膚に接する器具は客1人ごとに洗浄し、かみそり及び血液付着器具を消毒する」は規定または制度の内容と一致しない。主体、対象、数値、期間または要件のいずれかが、第5の5、第5の6で定める内容と異なる。"
"誤答理由として適切な一覧_v2.9.151.csv","A-OTHER-0D0FFE318F","A-OTHER-0D0FFE318F-01","公式確認済み・誤答理由として適切","wrong_choice|wrong_explanation","183","判定維持","「器具の取扱い、消毒及び携行品の管理に関する手順書を作成し、作業環境の管理は出張先の施設管理者に委ねる」は規定または制度の内容と一致しない。主体、対象、数値、期間または要件のいずれかが、第7の2で定める内容と異なる。"
"誤答理由として適切な一覧_v2.9.151.csv","A-OTHER-9687FDDDD1","A-OTHER-9687FDDDD1-01","公式確認済み・誤答理由として適切","correct_explanation|wrong_explanation","200","判定維持","aは正しい。再汚染を防ぐため、消毒済み器具と使用済み器具は区別して保管する。bも正しい。頭髪の切断だけに用いるものを除くかみそりは、血液付着器具と同じ区分の方法で消毒する。cは区分保管を欠き、dはホルダーの衛生処理を省略しているため誤りである。"
"誤答理由として適切な一覧_v2.9.151.csv","A-OTHER-BD97D0EBA7","A-OTHER-BD97D0EBA7-01","公式確認済み・誤答理由として適切","correct_explanation|wrong_explanation","346","判定維持","aは正しい。作業手順を整えることで安全性、効率、品質を安定させる。bも正しく、予約には施術時間、担当者、準備などを考慮する。cは店舗共通の確認を欠き、dは準備や消毒の時間を確保できないため誤り。"
"誤答理由として適切な一覧_v2.9.151.csv","A-OTHER-71204B0A6C","A-OTHER-71204B0A6C-01","公式確認済み・誤答理由として適切","correct_choice|wrong_choice|correct_explanation","398|567|568","誤分類候補","対象、条件、作用又は手順が基準と異なる。判断するときは「使用前後に衛生状態を確認し、必要な消毒又は交換を行う。」及び「頬部は比較的平らでも、毛流と皮膚状態を確認しながら剃る。」を基準とする。"
"338論点の再監査結果_v2.9.151.csv","A-OTHER-CE44F11CAF","A-OTHER-CE44F11CAF-01","参考資料確認済み","question","165","判定維持","洗浄・消毒済みの器具類と使用済みの器具類の管理について、正しいものはどれか。"
"338論点の再監査結果_v2.9.151.csv","A-OTHER-34607E9AE9","A-OTHER-34607E9AE9-01","参考資料確認済み","question","186","判定維持","かみそりその他血液が付着している器具、又はその疑いがある器具の消毒方法として、正しいものはどれか。"
"338論点の再監査結果_v2.9.151.csv","A-OTHER-F6B57DC275","A-OTHER-F6B57DC275-01","参考資料確認済み","question","190","判定維持","血液が付着している疑いのない器具の消毒方法として、正しいものはどれか。"
"338論点の再監査結果_v2.9.151.csv","A-OTHER-0793B724B9","A-OTHER-0793B724B9-01","参考資料確認済み","question","201","判定維持","かみそりの消毒について、正しいものはどれか。"
"338論点の再監査結果_v2.9.151.csv","A-OTHER-B8E085ADBC","A-OTHER-B8E085ADBC-01","参考資料確認済み","question","211","判定維持","血液付着の疑いがある器具と疑いがない器具の消毒の違いとして、正しいものはどれか。"
"338論点の再監査結果_v2.9.151.csv","A-OTHER-7CBC354C4D","A-OTHER-7CBC354C4D-01","参考資料確認済み","question","212","判定維持","くしやブラシなど、血液が付着している疑いのない器具の消毒として、適切なものはどれか。"
"338論点の再監査結果_v2.9.151.csv","A-OTHER-C627CBED6D","A-OTHER-C627CBED6D-01","参考資料確認済み","question","286","判定維持","陽イオン界面活性剤について、正しいものはどれか。"
"338論点の再監査結果_v2.9.151.csv","A-OTHER-791AB07198","A-OTHER-791AB07198-01","参考資料確認済み","question","287","判定維持","非イオン界面活性剤の特徴として、正しいものはどれか。"
"338論点の再監査結果_v2.9.151.csv","A-OTHER-D01B236ADC","A-OTHER-D01B236ADC-01","参考資料確認済み","question","492","判定維持","香粧品成分の「香粧品化学：界面活性剤」と「香粧品化学：着色剤」に関する次の記述のうち、いずれの内容も正しいものはどれか。"
"338論点の再監査結果_v2.9.151.csv","A-OTHER-5078ACBCAF","A-OTHER-5078ACBCAF-01","参考資料確認済み","question","496","判定維持","香粧品成分の「香粧品化学：陽イオン界面活性剤」と「香粧品化学：アルカリ剤」に関する次の記述のうち、いずれの内容も正しいものはどれか。"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-6C590ECAC6","A-OTHER-6C590ECAC6-01","誤検出","question|correct_explanation|wrong_explanation","214|425|426|427|428|429|430|432|433|434|435|436|437|438|439|440|441|442|443|444","誤分類候補","消毒法"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-4DE1ED05AD","A-OTHER-4DE1ED05AD-01","誤検出","non_question_or_unresolved","","判定維持","rules-血液付着以外の器具の消毒"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-B4846BD802","A-OTHER-B4846BD802-01","誤検出","correct_explanation","162","誤分類候補","・根拠：第3の5"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-474FD9687C","A-OTHER-474FD9687C-01","誤検出","correct_explanation","172","誤分類候補","・根拠：第5の5、第5の6"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-0931A183FE","A-OTHER-0931A183FE-01","誤検出","non_question_or_unresolved","","判定維持","disinfection-消毒前の洗浄"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-391C040372","A-OTHER-391C040372-01","誤検出","correct_explanation|wrong_explanation","214","誤分類候補","消毒法は、器具の種類、血液付着の有無、消毒薬の濃度及び作用時間を組み合わせて判断し、消毒前の洗浄や消毒後の保管も含めて管理する。薬品名、濃度又は時間の一つだけでは判断できないため、②が正しい。"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-7B473935E1","A-OTHER-7B473935E1-01","誤検出","wrong_choice|wrong_explanation","278","誤分類候補","陰イオン界面活性剤として洗浄と起泡を主に担う"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-7FA7851E83","A-OTHER-7FA7851E83-01","誤検出","non_question_or_unresolved","","判定維持","cosmetics-陰イオン界面活性剤"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-D8521AC19D","A-OTHER-D8521AC19D-01","誤検出","question|correct_explanation|wrong_explanation","497","誤分類候補","香粧品化学：非イオン界面活性剤"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-AD7C7A084C","A-OTHER-AD7C7A084C-01","誤検出","correct_explanation|wrong_explanation","492","誤分類候補","【香粧品化学：界面活性剤】"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-F84A441911","A-OTHER-F84A441911-03","誤検出","correct_explanation|wrong_explanation","495","誤分類候補","【香粧品化学：酸・アルカリ】"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-B4D97F5559","A-OTHER-B4D97F5559-01","誤検出","correct_explanation","556","誤分類候補","【理容技術理論：引き出し角度】"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-8B24F2D4BE","A-OTHER-8B24F2D4BE-07","誤検出","non_question_or_unresolved","","判定維持","（試験の課目）"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-CF767AC924","A-OTHER-CF767AC924-01","誤検出","question|wrong_choice|wrong_explanation|correct_choice|correct_explanation","58|59|153|181|186|190|191|211|213|440","誤分類候補","消毒方法"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-762412B47E","A-OTHER-762412B47E-01","誤検出","non_question_or_unresolved","","判定維持","消毒液の適正管理"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-9C2E968791","A-OTHER-9C2E968791-01","誤検出","non_question_or_unresolved","","判定維持","消毒済器具を携行"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-C33277C8E6","A-OTHER-C33277C8E6-01","誤検出","non_question_or_unresolved","","判定維持","汚染場所の消毒措置"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-E3CA60A515","A-OTHER-E3CA60A515-01","誤検出","non_question_or_unresolved","","判定維持","消毒は皮膚に接する器具が対象"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-CF8DB61F6A","A-OTHER-CF8DB61F6A-01","誤検出","non_question_or_unresolved","","判定維持","第二十六条　消毒液等"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-2CD8B00767","A-OTHER-2CD8B00767-01","誤検出","non_question_or_unresolved","","判定維持","手洗い用の石けん・消毒液等を携行"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-FD4ABCEDFC","A-OTHER-FD4ABCEDFC-01","誤検出","non_question_or_unresolved","","判定維持","器具は使用前の清潔性と使用後の洗浄・消毒を区別"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-AFEBD49F5B","A-OTHER-AFEBD49F5B-01","誤検出","non_question_or_unresolved","","判定維持","都道府県知事が消毒を命令可能"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-5D7A2FE9CE","A-OTHER-5D7A2FE9CE-01","誤検出","non_question_or_unresolved","","判定維持","最重要条文はこちら → 消毒方法"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-086AC43004","A-OTHER-086AC43004-01","誤検出","non_question_or_unresolved","","判定維持","重要条文はこちら → 第二十五条　消毒の方法"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-FB514E1841","A-OTHER-FB514E1841-01","誤検出","non_question_or_unresolved","","判定維持","重要条文はこちら → 出張時の消毒"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-A7C4DB4789","A-OTHER-A7C4DB4789-01","誤検出","non_question_or_unresolved","","判定維持","重要条文はこちら → 汚染場所の消毒"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-9699668AA6","A-OTHER-9699668AA6-01","誤検出","non_question_or_unresolved","","判定維持","消毒すれば洗浄は不要、は誤り"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-83B46F841B","A-OTHER-83B46F841B-01","誤検出","non_question_or_unresolved","","判定維持","滅菌"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-060190CA7C","A-OTHER-060190CA7C-01","誤検出","non_question_or_unresolved","","判定維持","消毒時間"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-80C4293D22","A-OTHER-80C4293D22-01","誤検出","correct_choice|correct_explanation|wrong_explanation|question|wrong_choice","190|197|213|278|280|281|282|285|286|287|290|426|428|429|430|437|492|495|496|497","誤分類候補","界面活性剤"
